employee_id,full_name,gender,age_at_hire,branch,department,job_level,monthly_salary_bdt,hire_source,hire_date,termination_date,exit_reason,is_active,performance_rating,attendance_rate_pct,leave_balance_days,manager_id,tenure_days,tenure_months
EMP0001,Alexander Hill,Male,23,Sylhet,Sales & Retail Ops,Entry,23270,Employee referral,2025-08-10,,,True,3,95.8,15.5,EMP0001,315,10.3
EMP0002,Noah Rhodes,Male,28,Dhaka - Mirpur,Warehouse & Logistics,Entry,22265,Walk-in,2024-10-09,2025-01-02,Performance-related,False,4,89.5,1.9,EMP0001,85,2.8
EMP0003,Angie Henderson,Female,27,Chattogram,Sales & Retail Ops,Mid,30555,Employee referral,2022-02-18,,,True,2,89.8,9.5,EMP0001,1584,52.0
EMP0004,Daniel Wagner,Male,23,Dhaka - Gulshan,Sales & Retail Ops,Manager,70747,Walk-in,2022-11-05,,,True,1,89.2,12.4,EMP0001,1324,43.5
EMP0005,Cristian Santos,Male,26,Sylhet,IT & Systems,Mid,33734,Online application,2026-05-21,,,True,3,95.5,13.3,EMP0001,31,1.0
EMP0006,Daniel Lawrence,Male,19,Rajshahi,Merchandising,Senior,56502,Walk-in,2025-07-01,,,True,4,97.7,5.6,EMP0001,355,11.7
EMP0007,Aaron Shaffer,Male,31,Dhaka - Gulshan,Sales & Retail Ops,Entry,16775,Employee referral,2023-10-29,2024-05-21,Resignation - better opportunity,False,2,94.3,0.0,EMP0001,205,6.7
EMP0008,Gina Moore,Female,19,Dhaka - Mirpur,Sales & Retail Ops,Manager,108757,Walk-in,2025-02-27,,,True,2,94.0,11.3,EMP0001,479,15.7
EMP0009,Gabrielle Davis,Female,26,Dhaka - Mirpur,Warehouse & Logistics,Manager,79534,Employee referral,2024-12-19,,,True,2,84.1,7.1,EMP0001,549,18.0
EMP0010,Ryan Munoz,Male,29,Khulna,Sales & Retail Ops,Entry,25268,Walk-in,2023-10-11,,,True,3,83.9,12.9,EMP0001,984,32.3
EMP0011,Nicholas Herrera,Male,30,Rajshahi,Sales & Retail Ops,Mid,31276,Online application,2026-03-14,2026-04-15,Resignation - better opportunity,False,3,98.4,7.0,EMP0001,32,1.1
EMP0012,Mrs. Kristen Calderon,Female,30,Sylhet,Sales & Retail Ops,Mid,36470,Walk-in,2024-05-08,,,True,3,92.0,14.7,EMP0001,774,25.4
EMP0013,Scott Ray,Male,26,Chattogram,Sales & Retail Ops,Entry,19104,Employee referral,2025-03-23,2025-12-11,Resignation - better opportunity,False,2,100.0,0.4,EMP0001,263,8.6
EMP0014,Amber Perez,Female,19,Chattogram,Marketing,Mid,34154,Walk-in,2026-01-09,,,True,4,87.4,13.1,EMP0001,163,5.4
EMP0015,Angela Hall,Female,26,Khulna,Merchandising,Entry,25062,Online application,2022-12-18,,,True,2,93.9,9.5,EMP0001,1281,42.1
EMP0016,Donald Reid,Male,27,Head Office,Quality Control,Entry,23408,Agency,2023-05-04,,,True,1,91.7,11.4,EMP0001,1144,37.6
EMP0017,Jacob Clark,Male,19,Dhaka - Gulshan,HR & Admin,Mid,32892,Online application,2025-09-11,,,True,3,93.8,12.4,EMP0001,283,9.3
EMP0018,Timothy Wong,Male,28,Chattogram,Sales & Retail Ops,Entry,19157,Agency,2026-03-31,,,True,3,89.3,8.7,EMP0001,82,2.7
EMP0019,Carolyn Daniel,Female,34,Dhaka - Gulshan,Sales & Retail Ops,Senior,55931,Online application,2022-10-20,2022-12-07,Contract end,False,3,91.1,6.7,EMP0001,48,1.6
EMP0020,James Mayo,Male,19,Khulna,Sales & Retail Ops,Mid,39688,Agency,2023-10-07,,,True,2,93.8,5.0,EMP0001,988,32.5
EMP0021,Justin Cohen,Male,24,Dhaka - Mirpur,Merchandising,Mid,30413,Campus hiring,2023-12-23,,,True,2,95.7,9.3,EMP0015,911,29.9
EMP0022,Ricardo Perez,Male,21,Rajshahi,Warehouse & Logistics,Entry,17495,Online application,2022-04-20,,,True,4,92.9,3.3,EMP0001,1523,50.0
EMP0023,Emily Adams,Female,24,Dhaka - Mirpur,HR & Admin,Entry,23280,Walk-in,2026-01-08,,,True,3,100.0,4.3,EMP0022,164,5.4
EMP0024,Terri Walter,Female,28,Chattogram,Merchandising,Mid,31172,Walk-in,2025-01-14,,,True,3,97.6,5.4,EMP0014,523,17.2
EMP0025,Matthew Foster,Male,19,Dhaka - Mirpur,Sales & Retail Ops,Entry,16202,Employee referral,2024-08-15,,,True,2,92.2,15.6,EMP0021,675,22.2
EMP0026,Judy Baker,Female,30,Dhaka - Mirpur,Warehouse & Logistics,Entry,23777,Walk-in,2023-09-09,,,True,4,87.1,7.7,EMP0014,1016,33.4
EMP0027,Justin Baker,Male,24,Dhaka - Mirpur,Warehouse & Logistics,Senior,57708,Agency,2025-11-06,,,True,3,97.3,6.2,EMP0021,227,7.5
EMP0028,Stephanie Ross,Female,21,Head Office,IT & Systems,Manager,79411,Walk-in,2025-12-25,,,True,3,87.5,16.2,EMP0007,178,5.8
EMP0029,Zachary Hicks,Male,29,Rajshahi,Quality Control,Entry,18385,Agency,2024-04-24,,,True,3,88.0,12.7,EMP0010,788,25.9
EMP0030,Anthony Rodriguez,Male,25,Chattogram,Marketing,Manager,89918,Walk-in,2025-07-18,,,True,3,99.3,12.1,EMP0002,338,11.1
EMP0031,Ricky Henderson,Male,19,Sylhet,Merchandising,Mid,35208,Online application,2025-01-25,,,True,3,99.0,10.6,EMP0006,512,16.8
EMP0032,James Ferrell,Male,20,Dhaka - Mirpur,Merchandising,Senior,49158,Agency,2022-09-06,,,True,2,96.1,11.2,EMP0031,1384,45.5
EMP0033,Wesley Valencia,Male,32,Rajshahi,Sales & Retail Ops,Mid,32295,Employee referral,2024-06-07,,,True,3,96.9,14.4,EMP0017,744,24.4
EMP0034,Nathan Maldonado,Male,27,Dhaka - Mirpur,Finance & Accounts,Entry,24445,Walk-in,2025-05-20,2025-07-25,Performance-related,False,2,99.3,9.3,EMP0005,66,2.2
EMP0035,Derek Davidson,Male,26,Dhaka - Mirpur,HR & Admin,Mid,34352,Online application,2024-11-22,2025-11-11,Resignation - better opportunity,False,2,90.2,0.0,EMP0005,354,11.6
EMP0036,Jessica Chavez,Female,31,Rajshahi,Warehouse & Logistics,Entry,17218,Employee referral,2025-06-29,,,True,4,91.5,7.0,EMP0034,357,11.7
EMP0037,Sherri Baker,Female,29,Dhaka - Mirpur,IT & Systems,Entry,19446,Walk-in,2026-04-11,,,True,2,92.9,11.7,EMP0007,71,2.3
EMP0038,Christopher Gaines,Male,34,Khulna,Sales & Retail Ops,Entry,16225,Employee referral,2024-02-11,,,True,2,98.1,11.6,EMP0033,861,28.3
EMP0039,Edwin Fowler,Male,42,Chattogram,Quality Control,Senior,49996,Walk-in,2024-06-13,2024-10-28,Contract end,False,3,92.9,4.8,EMP0017,137,4.5
